stamp,gnss_x,gnss_y,gnss_z,gnss_roll,gnss_pitch,gnss_yaw,gnss_map_vx,gnss_map_vy,gnss_map_vz,gnss_base_vx,gnss_base_vy,gnss_base_vz,gnss_status,gnss_fsm_status,gnss_original_status
1716182184.728647,1166.004938,565.105649,-0.013211,0.015726,-0.002393,0.001221,1.392876,-0.006774,0.016700,1.392249,0.002030,0.045478,0,0,0
1716182184.928640,1166.306051,565.114385,-0.011851,0.017535,-0.001898,0.000950,1.530173,-0.032419,-0.022900,1.530483,-0.023004,0.009933,0,0,0
1716182185.128641,1166.621091,565.118498,-0.011164,0.018517,-0.001595,0.000628,1.567747,0.016069,-0.005800,1.567376,0.026518,0.027421,0,0,0
1716182185.328634,1166.928808,565.119888,-0.013750,0.016357,-0.001562,0.000334,1.533684,0.027120,-0.005700,1.533236,0.037808,0.026688,0,0,0
1716182185.528625,1167.228609,565.117724,-0.011723,0.018362,-0.001350,0.000274,1.508699,0.016411,-0.057600,1.509451,0.026061,-0.025265,0,0,0
1716182185.728621,1167.521039,565.114986,-0.012368,0.018578,-0.000767,-0.000144,1.464014,-0.000160,-0.009600,1.463827,0.010675,0.022897,0,0,0
1716182185.928613,1167.805620,565.114139,-0.013650,0.017834,-0.000501,0.000114,1.435011,-0.021478,0.030000,1.434081,-0.010513,0.062605,0,0,0
1716182186.128616,1168.087193,565.111889,-0.009152,0.020827,-0.001142,-0.000736,1.397737,0.006989,-0.002900,1.397369,0.018254,0.027432,0,0,0
1716182186.328610,1168.355193,565.119358,-0.011573,0.019342,-0.000701,-0.001032,1.367583,-0.028198,-0.034000,1.368183,-0.017343,-0.003023,0,0,0
1716182186.528610,1168.611942,565.135254,-0.012241,0.020238,0.000417,-0.001529,1.334678,0.029793,-0.052100,1.335234,0.040657,-0.021518,0,0,0
1716182186.728603,1168.866143,565.147063,-0.010558,0.020340,-0.000599,-0.002669,1.303390,0.010022,0.027700,1.302281,0.023674,0.056559,0,0,0
1716182186.928595,1169.109973,565.163292,-0.013244,0.017922,-0.000697,-0.002750,1.262135,0.016523,-0.026900,1.262201,0.028826,0.000853,0,0,0
1716182187.128597,1169.354496,565.170175,-0.010654,0.019665,-0.001052,-0.003134,1.220995,-0.005003,-0.040800,1.221586,0.007029,-0.014007,0,0,0
1716182187.328592,1169.598548,565.168152,-0.009043,0.020233,-0.001666,-0.003855,1.213617,0.002489,0.028400,1.212631,0.016666,0.054088,0,0,0
1716182187.528592,1169.836595,565.165419,-0.011436,0.018593,-0.001361,-0.003762,1.195470,-0.015113,-0.021700,1.195753,-0.002206,0.004331,0,0,0
1716182187.728585,1170.071488,565.160719,-0.010156,0.020661,-0.000616,-0.004103,1.180483,0.003710,-0.009500,1.180286,0.017068,0.016706,0,0,0
1716182187.928581,1170.305691,565.156730,-0.011119,0.020318,-0.000252,-0.003882,1.161111,-0.005049,-0.002800,1.160859,0.007979,0.023581,0,0,0
1716182188.128578,1170.533904,565.157483,-0.011624,0.018402,-0.001384,-0.002756,1.122546,0.005524,-0.020800,1.122626,0.016506,0.003271,0,0,0
1716182188.328578,1170.759442,565.155014,-0.009773,0.019375,-0.001845,-0.002156,1.087958,-0.006679,-0.006600,1.087868,0.003544,0.016461,0,0,0
1716182188.528574,1170.983824,565.151157,-0.011691,0.017404,-0.002102,-0.001605,1.065127,0.006838,0.017500,1.064427,0.016682,0.039563,0,0,0
1716182188.728573,1171.205201,565.146935,-0.009650,0.018739,-0.002410,-0.001331,1.044189,0.005209,-0.035900,1.044629,0.013601,-0.014549,0,0,0
1716182188.928567,1171.425175,565.140595,-0.007762,0.020094,-0.002604,-0.001050,1.050247,-0.010252,-0.012100,1.050322,-0.001679,0.009471,0,0,0
1716182189.128583,1171.635994,565.140164,-0.010413,0.018035,-0.002451,-0.000987,1.027449,0.003580,0.018000,1.026797,0.012464,0.038984,0,0,0
1716182189.328580,1171.840942,565.134703,-0.009492,0.018479,-0.002711,-0.000893,1.001920,-0.016770,-0.012400,1.002065,-0.008743,0.008189,0,0,0
1716182189.528576,1172.042870,565.125182,-0.008980,0.018893,-0.002728,-0.000707,0.975454,-0.008146,-0.026400,0.975823,-0.000790,-0.006511,0,0,0
1716182189.728576,1172.241271,565.115280,-0.007854,0.019293,-0.003155,-0.000497,0.970567,-0.023656,0.005300,0.970418,-0.015952,0.024970,0,0,0
1716182189.928573,1172.434289,565.104996,-0.007603,0.019045,-0.003507,-0.000511,0.927020,-0.009979,0.011200,0.926671,-0.002500,0.029413,0,0,0
1716182190.128592,1172.619021,565.100423,-0.007720,0.018627,-0.003750,-0.000840,0.905833,-0.006748,-0.018200,0.906041,0.000310,-0.000678,0,0,0
1716182190.328603,1172.799506,565.097046,-0.006043,0.019777,-0.003963,-0.000548,0.903187,-0.037123,-0.008100,0.903430,-0.030173,0.009788,0,0,0
1716182190.528596,1172.979667,565.093357,-0.004695,0.020653,-0.004171,-0.000467,0.887885,-0.027583,0.006200,0.887788,-0.020548,0.023444,0,0,0
